question_id,category_slug,category_name,question_text,answer_position,answer_text,is_correct,rationale
1,organisationnel,Organisationnel,"Combien de temps conserve-t-on les récépissés de Préfecture ?",0,"10 ans",0,
1,organisationnel,Organisationnel,"Combien de temps conserve-t-on les récépissés de Préfecture ?",1,"5 ans",0,
1,organisationnel,Organisationnel,"Combien de temps conserve-t-on les récépissés de Préfecture ?",2,"A vie",1,
1,organisationnel,Organisationnel,"Combien de temps conserve-t-on les récépissés de Préfecture ?",3,"3 ans",0,
2,organisationnel,Organisationnel,"A quoi sert la mention ""Tous droits de reproduction réservés"" sur une Convention d'Etude",0,"A payer moins de frais de reproduction papier",0,
2,organisationnel,Organisationnel,"A quoi sert la mention ""Tous droits de reproduction réservés"" sur une Convention d'Etude",1,"Avertir le client qu'il n'a pas le droit de diffuser la Convention d'Etude",1,
3,organisationnel,Organisationnel,"Peut-on utiliser le permis de conduire comme pièce d'identité dans un dossier étudiant ?",0,"Non, le permis de conduire ne permet pas de vérifier la nationalité",1,
3,organisationnel,Organisationnel,"Peut-on utiliser le permis de conduire comme pièce d'identité dans un dossier étudiant ?",1,"Oui mais seulement s'il a le permis A1",0,
3,organisationnel,Organisationnel,"Peut-on utiliser le permis de conduire comme pièce d'identité dans un dossier étudiant ?",2,"Aucune des 3 réponses",0,
3,organisationnel,Organisationnel,"Peut-on utiliser le permis de conduire comme pièce d'identité dans un dossier étudiant ?",3,"Oui s'il a la nouvelle version de permis de conduire.",0,
4,organisationnel,Organisationnel,"Est-il possible de prendre plusieurs stagiaires en Junior ?",0,"Oui dans la limite de 2 stagiaires en simultané sur une semaine civile",0,
4,organisationnel,Organisationnel,"Est-il possible de prendre plusieurs stagiaires en Junior ?",1,"Oui dans la limite de 5 stagiaires en simultané sur une semaine civile",0,
4,organisationnel,Organisationnel,"Est-il possible de prendre plusieurs stagiaires en Junior ?",2,"Oui dans la limite de 6 stagiaires en simultané sur une semaine civile",0,
4,organisationnel,Organisationnel,"Est-il possible de prendre plusieurs stagiaires en Junior ?",3,"Oui dans la limite de 3 stagiaires en simultané sur une semaine civile",1,
5,organisationnel,Organisationnel,"Comment procéder si un intervenant refuse de signer un Avenant au Récapitulatif de Mission ?",0,"Il faut faire un avenant de rupture au RM.",0,
5,organisationnel,Organisationnel,"Comment procéder si un intervenant refuse de signer un Avenant au Récapitulatif de Mission ?",1,"Il faut faire un avenant de rupture à la CE et au RM.",0,
5,organisationnel,Organisationnel,"Comment procéder si un intervenant refuse de signer un Avenant au Récapitulatif de Mission ?",2,"Il faut utiliser l'article ""Sanctions"" du Règlement Intérieur",1,
5,organisationnel,Organisationnel,"Comment procéder si un intervenant refuse de signer un Avenant au Récapitulatif de Mission ?",3,"Il suffit de ne pas payer l'étudiant",0,
6,organisationnel,Organisationnel,"Qu'est ce que le RGPD ?",0,"C'est le Règlement Général sur la Protection des Données, en application depuis le 25 mai 2020.",0,
6,organisationnel,Organisationnel,"Qu'est ce que le RGPD ?",1,"C'est la Règlementation Générale sur la Protection des Données, en application depuis le 25 mai 2020.",0,
6,organisationnel,Organisationnel,"Qu'est ce que le RGPD ?",2,"C'est le Règlement Général sur la Protection des Données, en application depuis le 25 mai 2018.",1,
6,organisationnel,Organisationnel,"Qu'est ce que le RGPD ?",3,"C'est la Règlementation Générale sur la Protection des Données, en application depuis le 25 mai 2018.",0,
7,organisationnel,Organisationnel,"Combien de temps doit-on conserver un questionnaire de satisfaction ?",0,"Aucune durée obligatoire",1,
7,organisationnel,Organisationnel,"Combien de temps doit-on conserver un questionnaire de satisfaction ?",1,"5 ans",0,
7,organisationnel,Organisationnel,"Combien de temps doit-on conserver un questionnaire de satisfaction ?",2,"2 ans",0,
7,organisationnel,Organisationnel,"Combien de temps doit-on conserver un questionnaire de satisfaction ?",3,"5 ans normalement et 10 ans pour une étude avec des documents électroniques",0,
8,organisationnel,Organisationnel,"Est-il possible de renvoyer un document d'étude signé par mail ?",0,"Aucune des 3 réponses",0,
8,organisationnel,Organisationnel,"Est-il possible de renvoyer un document d'étude signé par mail ?",1,"Impossible, le document scanné n'a pas de valeur légale en droit civil.",1,
8,organisationnel,Organisationnel,"Est-il possible de renvoyer un document d'étude signé par mail ?",2,"C'est possible, uniquement si le document est paraphé.",0,
8,organisationnel,Organisationnel,"Est-il possible de renvoyer un document d'étude signé par mail ?",3,"C'est possible, dans tous les cas",0,
9,organisationnel,Organisationnel,"Qu'est-ce que la norme ISO 9001 ?",0,"Aucune de ces 3 réponses",0,
9,organisationnel,Organisationnel,"Qu'est-ce que la norme ISO 9001 ?",1,"C'est une norme délivré par la CNJE aux 30 meilleurs Juniors de France.",0,
9,organisationnel,Organisationnel,"Qu'est-ce que la norme ISO 9001 ?",2,"Elle certifie la rigueur du système de management par la qualité et l’attention particulière portée à la satisfaction client et à la rigueur et conformité des prestations de services vendues.",1,
9,organisationnel,Organisationnel,"Qu'est-ce que la norme ISO 9001 ?",3,"C'est le nom de l'ancienne norme J.E.",0,
10,organisationnel,Organisationnel,"Quels sont les deux types de quitus existant en association, et donc en Junior ?",0,"Quitus moral et quitus fiscal",0,
10,organisationnel,Organisationnel,"Quels sont les deux types de quitus existant en association, et donc en Junior ?",1,"Quitus social et quitus financier",0,
10,organisationnel,Organisationnel,"Quels sont les deux types de quitus existant en association, et donc en Junior ?",2,"Quitus social et quitus fiscal",0,
10,organisationnel,Organisationnel,"Quels sont les deux types de quitus existant en association, et donc en Junior ?",3,"Quitus moral et quitus financier",1,
11,organisationnel,Organisationnel,"A quelle fréquence le Conseil d'Administration doit-il se réunir ?",0,"Il doit se réunir au moins 1 fois par mois.",0,
11,organisationnel,Organisationnel,"A quelle fréquence le Conseil d'Administration doit-il se réunir ?",1,"La fréquence de réunion est fixée par les Statuts ou le Règlement Intérieur",1,
11,organisationnel,Organisationnel,"A quelle fréquence le Conseil d'Administration doit-il se réunir ?",2,"Il doit se réunir au moins 1 fois par trimestre.",0,
11,organisationnel,Organisationnel,"A quelle fréquence le Conseil d'Administration doit-il se réunir ?",3,"Il doit se réunir au moins 1 fois par an.",0,
12,organisationnel,Organisationnel,"Que dois-je penser à mettre dans ma Convention d'Etude dans le cadre d'une étude à l'international ?",0,"Le Tribunal compétent et le droit applicable : le droit du pays du Client",0,
12,organisationnel,Organisationnel,"Que dois-je penser à mettre dans ma Convention d'Etude dans le cadre d'une étude à l'international ?",1,"Le Tribunal compétent et le droit applicable : le droit français",1,
12,organisationnel,Organisationnel,"Que dois-je penser à mettre dans ma Convention d'Etude dans le cadre d'une étude à l'international ?",2,"Le CA de la CNJE",0,
12,organisationnel,Organisationnel,"Que dois-je penser à mettre dans ma Convention d'Etude dans le cadre d'une étude à l'international ?",3,"Le Tribunal compétent et le droit applicable : le droit européen",0,
13,organisationnel,Organisationnel,"Une fois la nouvelle équipe élue, quelle formalité remplir avec la Préfecture pour les Juniors hors Alsace-Moselle?",0,"Déclarer la nouvelle équipe en préfecture sous 6 mois",0,
13,organisationnel,Organisationnel,"Une fois la nouvelle équipe élue, quelle formalité remplir avec la Préfecture pour les Juniors hors Alsace-Moselle?",1,"Déclarer la nouvelle équipe en préfecture sous 3 mois",1,
13,organisationnel,Organisationnel,"Une fois la nouvelle équipe élue, quelle formalité remplir avec la Préfecture pour les Juniors hors Alsace-Moselle?",2,"Déclarer la nouvelle équipe en préfecture sous 4 mois",0,
13,organisationnel,Organisationnel,"Une fois la nouvelle équipe élue, quelle formalité remplir avec la Préfecture pour les Juniors hors Alsace-Moselle?",3,"Déclarer la nouvelle équipe en préfecture sous 2 mois",0,
14,organisationnel,Organisationnel,"Une Junior peut-elle accepter une mission sans plus-value pédagogique ?",0,Jamais,0,
14,organisationnel,Organisationnel,"Une Junior peut-elle accepter une mission sans plus-value pédagogique ?",1,"Oui si sous-traitance entre Juniors, la Junior sous-traitante conserve l'analyse",1,
14,organisationnel,Organisationnel,"Une Junior peut-elle accepter une mission sans plus-value pédagogique ?",2,"Dans un seul cas : le Client est un alumni",0,
14,organisationnel,Organisationnel,"Une Junior peut-elle accepter une mission sans plus-value pédagogique ?",3,"Oui si sous-traitance entre Juniors, la Junior sous-traitée conserve l'analyse",0,
15,organisationnel,Organisationnel,"Qu'est-ce que la CNIL ?",0,"Conseil National de l'Informatique et des Libertés",0,
15,organisationnel,Organisationnel,"Qu'est-ce que la CNIL ?",1,"Commission Nationale de l'Informatique et des Libertés",1,
15,organisationnel,Organisationnel,"Qu'est-ce que la CNIL ?",2,"Commission Nationale de l'Information et des Libertés",0,
15,organisationnel,Organisationnel,"Qu'est-ce que la CNIL ?",3,"Conseil National de l'Information et des Libertés",0,
16,organisationnel,Organisationnel,"Quelle mention doit obligatoirement figurer à côté du montant TTC sur les documents d'étude ?",0,"TTC au moment du prélèvement",0,
16,organisationnel,Organisationnel,"Quelle mention doit obligatoirement figurer à côté du montant TTC sur les documents d'étude ?",1,"A titre indicatif et au taux actuel de TVA",1,
16,organisationnel,Organisationnel,"Quelle mention doit obligatoirement figurer à côté du montant TTC sur les documents d'étude ?",2,"Selon la TVA européenne et française.",0,
17,organisationnel,Organisationnel,"Qu'est-ce qu'un quorum ?",0,"Le nombre maximal de membres présents d'un corps délibératif nécessaire à la validité d'une décision",0,
17,organisationnel,Organisationnel,"Qu'est-ce qu'un quorum ?",1,"Le nombre minimal de membres d'un corps délibératif nécessaire à la validité d'une décision",1,
18,organisationnel,Organisationnel,"Quel est l'organe souverain d'une Junior ?",0,"En Junior, il s'agit généralement de l'Assemblée Générale",1,
18,organisationnel,Organisationnel,"Quel est l'organe souverain d'une Junior ?",1,"En Junior, il s'agit généralement du bureau",0,
18,organisationnel,Organisationnel,"Quel est l'organe souverain d'une Junior ?",2,"En Junior, il s'agit généralement du Conseil d'Administration",0,
18,organisationnel,Organisationnel,"Quel est l'organe souverain d'une Junior ?",3,"Aucune des 3 réponses",0,
19,organisationnel,Organisationnel,"Une Junior peut-elle répondre à un Appel d'Offres Public ?",0,"Non, c'est interdit",0,
19,organisationnel,Organisationnel,"Une Junior peut-elle répondre à un Appel d'Offres Public ?",1,"Oui, attention aux documents contractuels et au type d'obligation",1,
19,organisationnel,Organisationnel,"Une Junior peut-elle répondre à un Appel d'Offres Public ?",2,"Seulement si l'offre est posté sur Kiwi AO",0,
20,organisationnel,Organisationnel,"A partir de quand un étudiant est-il considéré comme adhérent ?",0,"Si cotisation gratuite, a partir de la signature du BV",0,
20,organisationnel,Organisationnel,"A partir de quand un étudiant est-il considéré comme adhérent ?",1,"Si cotisation gratuite, a partir de la signature du RM",0,
20,organisationnel,Organisationnel,"A partir de quand un étudiant est-il considéré comme adhérent ?",2,"Si cotisation gratuite, a partir de la signature du CE",0,
20,organisationnel,Organisationnel,"A partir de quand un étudiant est-il considéré comme adhérent ?",3,"Si cotisation gratuite, apres signature du BA",1,
